island_id,lat,lon,Country,_match_country_name,_match_country_code,_match_score,scenario,population_raw,population_calc,income_per_capita_2020,consumption_pc_kwh,billed_kwh,tariff_breakeven,tariff_affordable,viability_gap
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_2020,82.0,82.0,12960.0,2659.65,218091.30000000002,0.6575295642205252,0.48728216118662226,0.17024740303390296
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_2050,82.0,82.0,12960.0,2659.65,215037.21000000002,0.42468515466005585,0.48728216118662226,-0.06259700652656641
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_future_2030,82.0,82.0,12960.0,2659.65,215037.21000000002,0.3244195271156857,0.48728216118662226,-0.16286263407093654
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_future_2040,82.0,82.0,12960.0,2659.65,215037.21000000002,0.4041120701211897,0.48728216118662226,-0.08317009106543255
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_future_2050,82.0,82.0,12960.0,2659.65,215037.21000000002,0.39958711782517453,0.48728216118662226,-0.08769504336144773
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_0,1309.0,500.0,12960.0,2659.65,1329802.434,0.18328499068207577,0.48728216118662226,-0.3039971705045465
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_2020,1309.0,500.0,12960.0,2659.65,1329802.434,0.2572467878209281,0.48728216118662226,-0.23003537336569418
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_2050,1309.0,500.0,12960.0,2659.65,1311202.5,0.21800699939932527,0.48728216118662226,-0.269275161787297
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_future_2030,1309.0,500.0,12960.0,2659.65,1311202.5,0.20193769401022796,0.48728216118662226,-0.2853444671763943
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_future_2040,1309.0,500.0,12960.0,2659.65,1311202.5,0.19782188355195424,0.48728216118662226,-0.28946027763466803
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_future_2050,1309.0,500.0,12960.0,2659.65,1311202.5,0.1938408673863214,0.48728216118662226,-0.2934412938003009
7217,-43.602388,-74.708425,Chile,Chile,CHL,100,output_0,615.0,500.0,12960.0,2659.65,1329783.729,0.1711825595306932,0.48728216118662226,-0.3160996016559291
7217,-43.602388,-74.708425,Chile,Chile,CHL,100,output_2020,615.0,500.0,12960.0,2659.65,1329758.2680000002,0.2167433594315078,0.48728216118662226,-0.27053880175511447
7217,-43.602388,-74.708425,Chile,Chile,CHL,100,output_2050,615.0,500.0,12960.0,2659.65,1311202.487,0.1881643438146245,0.48728216118662226,-0.2991178173719978
7217,-43.602388,-74.708425,Chile,Chile,CHL,100,output_future_2030,615.0,500.0,12960.0,2659.65,1311202.5,0.17140572665802165,0.48728216118662226,-0.3158764345286006
7217,-43.602388,-74.708425,Chile,Chile,CHL,100,output_future_2040,615.0,500.0,12960.0,2659.65,1311202.5,0.167231182200809,0.48728216118662226,-0.32005097898581325
7217,-43.602388,-74.708425,Chile,Chile,CHL,100,output_future_2050,615.0,500.0,12960.0,2659.65,1311202.5,0.1632476583474473,0.48728216118662226,-0.32403450283917495
7260,-43.39073,-74.262261,Chile,Chile,CHL,100,output_0,76.0,76.0,12960.0,2659.65,202130.70299999998,0.17532459162921604,0.48728216118662226,-0.3119575695574062
7260,-43.39073,-74.262261,Chile,Chile,CHL,100,output_2020,76.0,76.0,12960.0,2659.65,202129.32000000216,0.22673233986258196,0.48728216118662226,-0.2605498213240403
7260,-43.39073,-74.262261,Chile,Chile,CHL,100,output_2050,76.0,76.0,12960.0,2659.65,199294.49912743372,0.20530686439711204,0.48728216118662226,-0.2819752967895102
7260,-43.39073,-74.262261,Chile,Chile,CHL,100,output_future_2030,76.0,76.0,12960.0,2659.65,199298.04699442402,0.18735702429763632,0.48728216118662226,-0.2999251368889859
7260,-43.39073,-74.262261,Chile,Chile,CHL,100,output_future_2040,76.0,76.0,12960.0,2659.65,199299.2566101528,0.18290290912841375,0.48728216118662226,-0.3043792520582085
7260,-43.39073,-74.262261,Chile,Chile,CHL,100,output_future_2050,76.0,76.0,12960.0,2659.65,199301.0742331376,0.17848435557906556,0.48728216118662226,-0.3087978056075567
