ID,Long,Lat,Country,Island,pop,geometry
37469,-67.160805,65.956339,Canada,Kekertar Island,13543.0,POINT (-67.160805 65.956339)
37605,-53.236387,66.855875,Greenland,Sarfannguaq,148.0,POINT (-53.236387 66.855875)
37624,-62.398317,66.962265,Canada,,13543.0,POINT (-62.398317 66.962265)
37658,-63.892742,67.541554,Canada,Broughton Island,635.0,POINT (-63.892742 67.541554)
37885,-52.158666,68.612242,Greenland,Nuugaarsuk,32996.0,POINT (-52.158666 68.612242)
37910,-52.792496,68.711698,Greenland,Aasiaat,2029.0,POINT (-52.792496 68.711698)
38041,-81.667255,69.381689,Canada,Igloolik Island,1790.0,POINT (-81.667255 69.381689)
38246,-53.547246,69.780685,Greenland,Qeqertarsuaq,1027.0,POINT (-53.547246 69.780685)
38259,-51.510086,70.538286,Greenland,Ikerasak,228.0,POINT (-51.510086 70.538286)
38261,-52.138705,70.701384,Greenland,Uummannaq,975.0,POINT (-52.138705 70.701384)
38285,-53.664649,71.154695,Greenland,Ubekendt Ejland,80.0,POINT (-53.664649 71.154695)
38291,-73.512175,71.450415,Canada,,13543.0,POINT (-73.512175 71.450415)
38332,-55.354164,72.267913,Greenland,Qeqertaq,215.0,POINT (-55.354164 72.267913)
38379,-55.452768,72.848063,Greenland,Aappilattoq,54.0,POINT (-55.452768 72.848063)
38385,-55.543206,72.877341,Greenland,,54.0,POINT (-55.543206 72.877341)
38424,-55.966022,73.204966,Greenland,Ateqangitsorssuaq,77.0,POINT (-55.966022 73.204966)
38433,-55.993103,73.356977,Greenland,Tasiusaq,225.0,POINT (-55.993103 73.356977)
38485,-57.148108,74.608473,Greenland,Djaevelen Tommelfinger,363.0,POINT (-57.148108 74.608473)
38531,-65.04481,76.047265,Greenland,Meteorito,110.0,POINT (-65.04481 76.047265)
38595,-76.760466,77.889135,Canada,,107.0,POINT (-76.760466 77.889135)
38600,-74.450146,78.721555,Canada,Brevoort Island,107.0,POINT (-74.450146 78.721555)
