island_id,lat,lon,Country,_match_country_name,_match_country_code,_match_score,scenario,population_raw,population_calc,income_per_capita_2020,consumption_pc_kwh,billed_kwh,LCOE,tariff_affordable,feasibility_gap
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_future_2040,88,88,12960,2629.59,230771.64,0.778784613,0.492852498,0.285932115
5437,-49.39427,-74.784839,Chile,Chile,CHL,100,output_future_2050,88,88,12960,2629.59,230771.64,0.777778289,0.492852498,0.284925791
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_0,197,197,12960,2659.65,523951.05,0.282117012,0.487282161,-0.205165149
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_2020,197,197,12960,2659.65,523951.05,0.282117012,0.487282161,-0.205165149
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_2050,197,197,12960,2659.65,516613.785,0.284708563,0.487282161,-0.202573598
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_future_2030,197,197,12960,2659.65,516613.785,0.281279315,0.487282161,-0.206002846
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_future_2040,197,197,12960,2659.65,516613.785,0.280469138,0.487282161,-0.206813023
6242,-45.58742,-73.662076,Chile,Chile,CHL,100,output_future_2050,197,197,12960,2659.65,516613.785,0.279674826,0.487282161,-0.207607335
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_0,82,82,12960,2659.65,218091.3,0.234306879,0.487282161,-0.252975282
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_2020,82,82,12960,2659.65,218091.3,0.657529564,0.487282161,0.170247403
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_2050,82,82,12960,2659.65,215037.21,0.424685155,0.487282161,-0.062597007
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_future_2030,82,82,12960,2659.65,215037.21,0.324419527,0.487282161,-0.162862634
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_future_2040,82,82,12960,2659.65,215037.21,0.40411207,0.487282161,-0.083170091
6535,-45.128193,-73.919436,Chile,Chile,CHL,100,output_future_2050,82,82,12960,2659.65,215037.21,0.399587118,0.487282161,-0.087695043
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_0,1309,500,12960,2659.65,1329802.434,0.183284991,0.487282161,-0.303997171
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_2020,1309,500,12960,2659.65,1329802.434,0.257246788,0.487282161,-0.230035373
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_2050,1309,500,12960,2659.65,1311202.5,0.218006999,0.487282161,-0.269275162
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_future_2030,1309,500,12960,2659.65,1311202.5,0.201937694,0.487282161,-0.285344467
7166,-43.873289,-73.805109,Chile,Chile,CHL,100,output_future_2040,1309,500,12960,2659.65,1311202.5,0.197821884,0.487282161,-0.289460278
